Market Name,Latitude,Longitude
Fatehabad,29.5359209,75.57529014661358
Indri,29.89205745,77.0910014726932
Asandh,29.5212674,76.603457
Barwala(Hisar),29.350185,75.93817117364267
Narnaund,29.26077745,76.1146499941892
Uklana,29.5124365,75.8782021
Gurgaon,28.4646148,77.0299194
Punhana,27.8637502,77.2051612
Visnagar,23.6978037,72.5507598
Mansa,29.8764133,75.48895639945275
Junagadh,21.5220416,70.4582458
Bilimora,20.7671693,72.9693451
Sami,23.6841533,71.7781681
Dahod,22.919409899999998,74.13427251978064
Solan,30.9077569,77.1023645
Una,31.5834642,76.23514522983882
Bhogpur,31.5536751,75.6419145
Lohian Khas,31.1654311,75.1964924
Tapa,30.3030899,75.3669298
Budalada,,
Ajnala,31.8442334,74.7625233
Rampura Phul,30.2703978,75.2373537
Raman,32.1193895,77.1964259
Ghanaur,30.3312684,76.6120004
Samana,24.54463355,80.24473137451659
Patran,29.9554252,76.0516968
Dudhansadhan,,
Patiala,30.20927775,76.33972313649818
Bhawanigarh,30.2623648,76.041332
Sangrur,30.135717,75.85333259556887
Faridkot,30.6014507,74.79501756894368
Ropar,30.9688367,76.526088
Kot ise Khan,30.9430954,75.13724
Ferozepur Cantt.,30.9282528,74.6287351
Mullanpur Dakha (Sawadi),,
Mullanpur,30.7191606,76.3660295
Kurali,21.444670549999998,78.29885908521152
Muktsar,30.4692,74.5182
Giddarbaha,30.2051335,74.6635003
Chikkamagalore,,
Shimoga,14.05565025,75.23805528480658
Udupi,13.5269784,74.87318787345797
Kundapura,13.6133737,74.7286856
Yellapur,18.0829891,79.4985293
Gadag,15.41669195,75.6815801296564
Bangarpet,12.98822,78.1812561
Malur,21.5157093,77.03435129998434
Kolar,13.18050655,78.26693288646007
Chickkaballapura,,
Mumbai,19.054999,72.8692035
Achalpur,21.240792499999998,77.42779700393686
Akola,20.76181225,77.1921156663574
Udgir,18.3921349,77.1196118
Ausa,18.2510243,76.500958
Aurangabad,24.80332005,84.41101977690866
Kannad,20.2654298,75.1322409
Kolhapur(Laxmipuri),16.697835050000002,74.22662847743607
Kolhapur,16.7028412,74.2405329
Kolhapur(Malkapur),16.9049286,73.9476137
Jaysingpur,16.7789886,74.5564244
Bhiwapur,20.2688675,76.65364555558497
Ramtek,21.3957522,79.3257474
Umared,20.2882631,78.6798548
Mandhal,21.31726565,79.7345547059611
Kamthi,21.95972465,78.82877200552844
Nagpur,21.1498134,79.0820556
Aheri,19.4131755,80.0039973
Rahuri(Vambori),,
Rahata,19.7170595,74.4799561
Rahuri,19.40315545,74.61056048422637
Ahmednagar,19.162772500000003,74.85802430085195
Shrirampur,22.7549951,88.3416672
Parbhani,19.29019805,76.60264434278307
Palam,28.5918933,77.0828242
Hingoli,19.54311635,77.17394323993398
Sangli,17.1726928,74.58676543279755
Malegaon,20.5576062,74.5246514
Nasik,19.9834939,73.8926930853926
Sinner,19.8972539,74.1623127
Devala,19.9468174,79.2553995
Lasalgaon,20.1426837,74.2377507
Kalvan,,
Deglur,18.46775555,77.49988346749572
Nanded,19.09400875,77.48319215130235
Deoulgaon Raja,,
Malkapur,20.891958,76.2040353
Khamgaon,20.650223949999997,76.55918676833416
Bhandara,21.1225869,79.79450898891825
Pavani,17.2625724,80.1615163
Lakhandur,20.7549048,79.8838444
Chandrapur,20.0967555,79.50454752230621
Varora,20.324558449999998,79.00685135916387
Bhadrawati,20.11084085,79.12131080748601
Brahmpuri,25.577208,74.50284
Ulhasnagar,19.2236329,73.1671515
